iter	Passed	Remaining
403	8588	12670
404	8608	12646
405	8627	12621
406	8647	12598
407	8666	12575
408	8685	12551
409	8705	12527
410	8726	12505
411	8746	12482
412	8765	12458
413	8786	12437
414	8805	12412
415	8824	12388
416	8843	12363
417	8863	12340
418	8881	12315
419	8901	12292
420	8920	12267
421	8939	12244
422	8959	12220
423	8978	12197
424	8997	12172
425	9016	12148
426	9035	12125
427	9055	12102
428	9075	12079
429	9095	12057
430	9114	12032
431	9134	12010
432	9157	11991
433	9176	11967
434	9196	11944
435	9214	11919
436	9233	11896
437	9253	11873
438	9274	11851
439	9294	11829
440	9315	11808
441	9336	11787
442	9357	11765
443	9379	11745
444	9400	11724
445	9421	11703
446	9442	11681
447	9463	11660
448	9484	11639
449	9504	11616
450	9524	11594
451	9545	11572
452	9566	11551
453	9586	11528
454	9607	11508
455	9628	11487
456	9649	11465
457	9670	11443
458	9690	11421
459	9711	11399
460	9731	11377
461	9750	11354
462	9770	11332
463	9791	11310
464	9812	11289
465	9831	11266
466	9850	11243
467	9874	11224
468	9893	11201
469	9913	11179
470	9932	11155
471	9952	11133
472	9973	11112
473	9996	11093
474	10016	11070
475	10037	11049
476	10058	11028
477	10079	11007
478	10098	10984
479	10133	10977
480	10155	10958
481	10177	10937
482	10201	10919
483	10224	10900
484	10244	10878
485	10265	10856
486	10293	10842
487	10319	10827
488	10349	10815
489	10373	10796
490	10395	10776
491	10419	10757
492	10439	10736
493	10460	10714
494	10480	10692
495	10502	10672
496	10523	10650
497	10543	10627
498	10565	10607
499	10587	10587
500	10608	10566
501	10628	10544
502	10650	10523
503	10686	10516
504	10706	10494
505	10731	10476
506	10752	10455
507	10773	10434
508	10795	10413
509	10816	10392
510	10837	10370
511	10858	10349
512	10882	10330
513	10903	10309
514	10923	10286
515	10943	10264
516	10964	10243
517	10984	10221
518	11006	10200
519	11027	10178
520	11047	10156
521	11067	10134
522	11088	10112
523	11109	10091
524	11129	10069
525	11149	10047
526	11170	10026
527	11191	10004
528	11212	9982
529	11233	9961
530	11255	9940
531	11275	9919
532	11297	9898
533	11317	9876
534	11340	9856
535	11361	9835
536	11381	9812
537	11402	9792
538	11424	9770
539	11444	9748
540	11464	9726
541	11484	9704
542	11504	9682
543	11525	9660
544	11545	9638
545	11563	9615
546	11584	9593
547	11604	9571
548	11625	9550
549	11645	9528
550	11665	9506
551	11685	9483
552	11722	9475
553	11742	9453
554	11763	9432
555	11783	9410
556	11804	9388
557	11822	9365
558	11844	9344
559	11866	9323
560	11886	9301
561	11911	9283
562	11933	9262
563	11953	9240
564	11972	9217
565	11993	9196
566	12014	9174
567	12034	9152
568	12054	9131
569	12076	9110
570	12097	9089
571	12119	9068
572	12140	9047
573	12166	9029
574	12186	9007
575	12206	8985
576	12227	8963
577	12248	8942
578	12268	8920
579	12287	8898
580	12307	8876
581	12328	8854
582	12350	8833
583	12372	8813
584	12390	8789
585	12410	8767
586	12429	8745
587	12449	8723
588	12470	8701
589	12490	8679
590	12511	8658
591	12530	8636
592	12549	8613
593	12571	8592
594	12593	8571
595	12613	8550
596	12635	8529
597	12657	8508
598	12676	8486
599	12698	8465
600	12720	8444
601	12740	8422
602	12759	8400
603	12779	8378
604	12801	8357
605	12820	8335
606	12839	8312
607	12860	8291
608	12879	8269
609	12900	8247
610	12921	8226
611	12940	8204
612	12958	8181
613	12978	8159
614	12998	8137
615	13018	8115
616	13037	8092
617	13056	8070
618	13086	8054
619	13106	8032
620	13125	8010
621	13145	7988
622	13164	7966
623	13183	7943
624	13202	7921
625	13221	7898
626	13240	7876
627	13269	7860
628	13290	7838
629	13311	7817
630	13332	7796
631	13353	7775
632	13374	7754
633	13396	7733
634	13415	7711
635	13435	7689
636	13455	7667
637	13475	7646
638	13496	7624
639	13516	7602
640	13534	7580
641	13554	7558
642	13574	7536
643	13594	7514
644	13613	7492
645	13632	7470
646	13651	7448
647	13670	7426
648	13691	7404
649	13710	7382
650	13730	7360
651	13764	7346
652	13786	7326
653	13809	7305
654	13828	7283
655	13847	7261
656	13880	7246
657	13900	7225
658	13919	7202
659	13939	7181
660	13959	7159
661	13978	7136
662	13997	7115
663	14019	7094
664	14039	7072
665	14058	7050
666	14078	7028
667	14106	7011
668	14126	6989
669	14145	6967
670	14166	6946
671	14186	6924
