iter	Logloss
0	0.6515156519
1	0.6143165822
2	0.58320137
3	0.5547707818
4	0.5296803656
5	0.5085559927
6	0.4885499484
7	0.470897871
8	0.4550670829
9	0.441352303
10	0.4288342932
11	0.4176144903
12	0.4078223631
13	0.3988083224
14	0.3903569774
15	0.3833705593
16	0.3769341484
17	0.3714275244
18	0.3662865531
19	0.3616186144
20	0.3575786547
21	0.3535135875
22	0.3502365039
23	0.3471273944
24	0.344445154
25	0.3413724426
26	0.3391415818
27	0.3374384029
28	0.3357041942
29	0.3341078572
30	0.3327064028
31	0.3310776291
32	0.3296085207
33	0.3281537516
34	0.3270103338
35	0.3258133263
36	0.3248771315
37	0.3237936163
38	0.3228190711
39	0.3220943379
40	0.3214479408
41	0.3206737754
42	0.3200624179
43	0.3194597675
44	0.3189189191
45	0.3185121679
46	0.3180681019
47	0.3174301606
48	0.317091141
49	0.316502228
50	0.3161930868
51	0.3157704018
52	0.3154662864
53	0.3152293864
54	0.3149793672
55	0.3146345498
56	0.3142394814
57	0.3139690053
58	0.3137702447
59	0.3135491869
60	0.3134111426
61	0.3130799874
62	0.3128776373
63	0.3126094125
64	0.3124625848
65	0.3123277048
66	0.3120627935
67	0.3118126141
68	0.3116332342
69	0.3113049691
70	0.3111328905
71	0.3110020319
72	0.3108223137
73	0.3106101559
74	0.3104475795
75	0.3102638792
76	0.3100700966
77	0.3099440148
78	0.3098725521
79	0.3096553904
80	0.309528091
81	0.3092971402
82	0.3091638105
83	0.3090192991
84	0.308845548
85	0.3086885346
86	0.3085228161
87	0.3084178016
88	0.3082459009
89	0.3081442474
90	0.3080782034
91	0.3079621751
92	0.307899173
93	0.3077463456
94	0.3076202578
95	0.307442091
96	0.3073450938
97	0.3072500793
98	0.3071260692
99	0.3070108874
100	0.3069547447
101	0.3068405986
102	0.306728741
103	0.3066577275
104	0.3065137848
105	0.3063796256
106	0.306305702
107	0.3062449312
108	0.3061021728
109	0.3060015643
110	0.3059705672
